Bibliothèque,Année,Visiteurs
BPLC,2008,0
BPLC,2009,0
BPLC,2010,0
BPLC,2011,0
BPLC,2012,0
BPLC,2013,0
BPLC,2014,0
BPLC,2015,0
BPLC,2016,0
ABBA,2008,28426
ABBA,2009,29142
ABBA,2010,28606
ABBA,2011,30306
ABBA,2012,30720
ABBA,2013,35767
ABBA,2014,36555
ABBA,2015,39379
ABBA,2016,40586
ALLI,2008,33094
ALLI,2009,30753
ALLI,2010,26756
ALLI,2011,27982
ALLI,2012,27776
ALLI,2013,26871
ALLI,2014,27745
ALLI,2015,23140
ALLI,2016,21820
ARLE,2008,56135
ARLE,2009,48345
ARLE,2010,46236
ARLE,2011,53691
ARLE,2012,53691
ARLE,2013,47091
ARLE,2014,45490
ARLE,2015,47553
ARLE,2016,40354
BCSI,2008,12807
BCSI,2009,13058
BCSI,2010,13058
BCSI,2011,15006
BCSI,2012,14478
BCSI,2013,15018
BCSI,2014,15611
BCSI,2015,15620
BCSI,2016,17408
ECLA,2008,31396
ECLA,2009,64269
ECLA,2010,70336
ECLA,2011,68303
ECLA,2012,68273
ECLA,2013,69666
ECLA,2014,65871
ECLA,2015,65465
ECLA,2016,65702
JVEN,2008,15000
JVEN,2009,22500
JVEN,2010,23400
JVEN,2011,23400
JVEN,2012,23400
JVEN,2013,19050
JVEN,2014,26637
JVEN,2015,32663
JVEN,2016,32636
HAEN,2008,5000
HAEN,2009,7500
HAEN,2010,7800
HAEN,2011,7800
HAEN,2012,7800
HAEN,2013,6350
HAEN,2014,8879
HAEN,2015,8037
HAEN,2016,4700
PREM,2008,8920
PREM,2009,12329
PREM,2010,12500
PREM,2011,0
PREM,2012,5658
PREM,2013,5092
PREM,2014,4968
PREM,2015,5200
PREM,2016,2600
TEIS,2008,67726
TEIS,2009,42631
TEIS,2010,44851
TEIS,2011,44930
TEIS,2012,42658
TEIS,2013,38574
TEIS,2014,34522
TEIS,2015,28764
TEIS,2016,28525
SBRU,2008,62138
SBRU,2009,62138
SBRU,2010,50551
SBRU,2011,46952
SBRU,2012,54393
SBRU,2013,53784
SBRU,2014,51965
SBRU,2015,33520
SBRU,2016,41559
BMEI,2008,124404
BMEI,2009,120427
BMEI,2010,119614
BMEI,2011,119550
BMEI,2012,126079
BMEI,2013,117252
BMEI,2014,112585
BMEI,2015,119305
BMEI,2016,125943
CEVI,2008,188614
CEVI,2009,210504
CEVI,2010,215503
CEVI,2011,208618
CEVI,2012,203671
CEVI,2013,192912
CEVI,2014,199900
CEVI,2015,202876
CEVI,2016,192572
GRPL,2008,216818
GRPL,2009,203458
GRPL,2010,164999
GRPL,2011,155766
GRPL,2012,184594
GRPL,2013,187924
GRPL,2014,180147
GRPL,2015,175757
GRPL,2016,173827