Date,"particules PM2,5  (µg/m³)",Station
2023-02-07,,INSPIRA-MaisonProjet
2025-02-06,,INSPIRA-MaisonProjet
2023-03-01,13.1,St-Martin-d'Hères
2023-04-01,5.9,St-Martin-d'Hères
2023-05-01,7.7,St-Martin-d'Hères
2023-06-01,9.5,St-Martin-d'Hères
2023-07-01,7.7,St-Martin-d'Hères
2023-08-01,6.8,St-Martin-d'Hères
2023-09-01,8.7,St-Martin-d'Hères
2023-10-01,7.8,St-Martin-d'Hères
2023-11-01,9.6,St-Martin-d'Hères
2023-12-01,16.6,St-Martin-d'Hères
2024-01-01,18.6,St-Martin-d'Hères
2024-02-01,14,St-Martin-d'Hères
2024-03-01,8.1,St-Martin-d'Hères
2024-04-01,5.5,St-Martin-d'Hères
2024-05-01,4.6,St-Martin-d'Hères
2024-06-01,8,St-Martin-d'Hères
2024-07-01,7.1,St-Martin-d'Hères
2024-08-01,9.3,St-Martin-d'Hères
2024-09-01,5.7,St-Martin-d'Hères
2024-10-01,6.9,St-Martin-d'Hères
2024-11-01,14.7,St-Martin-d'Hères
2024-12-01,16.3,St-Martin-d'Hères
2025-01-01,17.3,St-Martin-d'Hères
2025-02-01,,St-Martin-d'Hères
2023-03-01,14,Grenoble les Frênes
2023-04-01,5.8,Grenoble les Frênes
2023-05-01,7.8,Grenoble les Frênes
2023-06-01,9.3,Grenoble les Frênes
2023-07-01,7.1,Grenoble les Frênes
2023-08-01,6.5,Grenoble les Frênes
2023-09-01,8,Grenoble les Frênes
2023-10-01,7.1,Grenoble les Frênes
2023-11-01,6.2,Grenoble les Frênes
2023-12-01,13.9,Grenoble les Frênes
2024-01-01,17.9,Grenoble les Frênes
2024-02-01,12.9,Grenoble les Frênes
2024-03-01,7.3,Grenoble les Frênes
2024-04-01,5.5,Grenoble les Frênes
2024-05-01,4.5,Grenoble les Frênes
2024-06-01,8.2,Grenoble les Frênes
2024-07-01,7,Grenoble les Frênes
2024-08-01,9.3,Grenoble les Frênes
2024-09-01,5.2,Grenoble les Frênes
2024-10-01,6,Grenoble les Frênes
2024-11-01,12.5,Grenoble les Frênes
2024-12-01,,Grenoble les Frênes
2025-01-01,15.9,Grenoble les Frênes
2025-02-01,,Grenoble les Frênes
2023-03-01,14.3,Gresivaudan Periurbain
2023-04-01,5.8,Gresivaudan Periurbain
2023-05-01,7.1,Gresivaudan Periurbain
2023-06-01,8.7,Gresivaudan Periurbain
2023-07-01,7,Gresivaudan Periurbain
2023-08-01,5.8,Gresivaudan Periurbain
2023-09-01,7.3,Gresivaudan Periurbain
2023-10-01,6.8,Gresivaudan Periurbain
2023-11-01,10.2,Gresivaudan Periurbain
2023-12-01,16.6,Gresivaudan Periurbain
2024-01-01,17.5,Gresivaudan Periurbain
2024-02-01,14,Gresivaudan Periurbain
2024-03-01,8.8,Gresivaudan Periurbain
2024-04-01,5.1,Gresivaudan Periurbain
2024-05-01,4.1,Gresivaudan Periurbain
2024-06-01,7.4,Gresivaudan Periurbain
2024-07-01,6.3,Gresivaudan Periurbain
2024-08-01,8.1,Gresivaudan Periurbain
2024-09-01,5,Gresivaudan Periurbain
2024-10-01,5.7,Gresivaudan Periurbain
2024-11-01,13.8,Gresivaudan Periurbain
2024-12-01,17.8,Gresivaudan Periurbain
2025-01-01,18.1,Gresivaudan Periurbain
2025-02-01,,Gresivaudan Periurbain
2023-03-01,,Rocade Sud Eybens
2023-04-01,7.6,Rocade Sud Eybens
2023-05-01,9.7,Rocade Sud Eybens
2023-06-01,9.9,Rocade Sud Eybens
2023-07-01,8.8,Rocade Sud Eybens
2023-08-01,7.3,Rocade Sud Eybens
2023-09-01,8.5,Rocade Sud Eybens
2023-10-01,8.6,Rocade Sud Eybens
2023-11-01,,Rocade Sud Eybens
2023-12-01,16.3,Rocade Sud Eybens
2024-01-01,16.8,Rocade Sud Eybens
2024-02-01,11.7,Rocade Sud Eybens
2024-03-01,7.5,Rocade Sud Eybens
2024-04-01,6.8,Rocade Sud Eybens
2024-05-01,5.7,Rocade Sud Eybens
2024-06-01,9.1,Rocade Sud Eybens
2024-07-01,7.5,Rocade Sud Eybens
2024-08-01,8,Rocade Sud Eybens
2024-09-01,5.5,Rocade Sud Eybens
2024-10-01,6.6,Rocade Sud Eybens
2024-11-01,12.6,Rocade Sud Eybens
2024-12-01,16.5,Rocade Sud Eybens
2025-01-01,16.9,Rocade Sud Eybens
2025-02-01,,Rocade Sud Eybens
2023-03-01,,Bourgoin-Jallieu
2023-04-01,,Bourgoin-Jallieu
2023-05-01,,Bourgoin-Jallieu
2023-06-01,,Bourgoin-Jallieu
2023-07-01,,Bourgoin-Jallieu
2023-08-01,,Bourgoin-Jallieu
2023-09-01,,Bourgoin-Jallieu
2023-10-01,,Bourgoin-Jallieu
2023-11-01,,Bourgoin-Jallieu
2023-12-01,12.5,Bourgoin-Jallieu
2024-01-01,13,Bourgoin-Jallieu
2024-02-01,8.3,Bourgoin-Jallieu
2024-03-01,5.5,Bourgoin-Jallieu
2024-04-01,4.4,Bourgoin-Jallieu
2024-05-01,4.4,Bourgoin-Jallieu
2024-06-01,7,Bourgoin-Jallieu
2024-07-01,5.9,Bourgoin-Jallieu
2024-08-01,8.1,Bourgoin-Jallieu
2024-09-01,5.5,Bourgoin-Jallieu
2024-10-01,5.8,Bourgoin-Jallieu
2024-11-01,13.2,Bourgoin-Jallieu
2024-12-01,15.2,Bourgoin-Jallieu
2025-01-01,14.3,Bourgoin-Jallieu
2025-02-01,,Bourgoin-Jallieu
2023-02-07,,Plateau de Bonnevaux
2025-02-06,,Plateau de Bonnevaux
2023-03-01,11.7,A7 Salaise Ouest
2023-04-01,6.9,A7 Salaise Ouest
2023-05-01,8.3,A7 Salaise Ouest
2023-06-01,8.8,A7 Salaise Ouest
2023-07-01,6.5,A7 Salaise Ouest
2023-08-01,,A7 Salaise Ouest
2023-09-01,7,A7 Salaise Ouest
2023-10-01,6,A7 Salaise Ouest
2023-11-01,8.5,A7 Salaise Ouest
2023-12-01,14.5,A7 Salaise Ouest
2024-01-01,16.6,A7 Salaise Ouest
2024-02-01,10.2,A7 Salaise Ouest
2024-03-01,8.6,A7 Salaise Ouest
2024-04-01,7.2,A7 Salaise Ouest
2024-05-01,6.8,A7 Salaise Ouest
2024-06-01,7.8,A7 Salaise Ouest
2024-07-01,7.3,A7 Salaise Ouest
2024-08-01,8.2,A7 Salaise Ouest
2024-09-01,6.9,A7 Salaise Ouest
2024-10-01,7.3,A7 Salaise Ouest
2024-11-01,13.4,A7 Salaise Ouest
2024-12-01,14.6,A7 Salaise Ouest
2025-01-01,11,A7 Salaise Ouest
2025-02-01,,A7 Salaise Ouest
2023-02-07,,Creys-Mépieu
2025-02-06,,Creys-Mépieu