type,geo_point_2d,id,code,city,name,visible,epci
clusters,"45.13617,5.82423",SEM:LATUILE,SEM:GENLATUILE,Vaulnaveys-le-Haut,La Tuilerie,1,LaMetro
clusters,"45.05031,5.67129",SEM:LAVALONE,SEM:GENLAVALONE,Vif,La Valonne,1,LaMetro
clusters,"45.17409,5.80262",SEM:LAVILLE,SEM:GENLAVILLE,Venon,La Ville,1,LaMetro
clusters,"45.14781,5.75116",SEM:LEBOURG,SEM:GENLEBOURG,Eybens,Le Bourg,1,LaMetro
clusters,"45.2059,5.77174",SEM:LEBRET,SEM:GENLEBRET,Meylan,Le Brêt,1,LaMetro
clusters,"45.16149,5.67354",SEM:LECELLIE,SEM:GENLECELLIE,Seyssins,Clinique du Dauphiné,1,LaMetro
clusters,"45.18186,5.78095",SEM:LECHAMAN,SEM:GENLECHAMAN,Gières,Le Chamandier,1,LaMetro
clusters,"45.17096,5.82185",SEM:LECHAPON,SEM:GENLECHAPON,Venon,Le Chapon,1,LaMetro
clusters,"45.1631,5.8123",SEM:LECHENIL,SEM:GENLECHENIL,Venon,Le Chenil,1,LaMetro
clusters,"45.20454,5.75928",SEM:LECHERES,SEM:GENLECHERES,Meylan,Les Léchères,1,LaMetro
clusters,"45.16807,5.67875",SEM:LECOMB,SEM:GENLECOMB,Seyssinet-Pariset,Les Combes,1,LaMetro
clusters,"45.14391,5.74859",SEM:LECRET,SEM:GENLECRET,Eybens,Le Crêt,1,LaMetro
clusters,"45.22453,5.71878",SEM:LEGATINE,SEM:GENLEGATINE,Saint-Martin-le-Vinoux,Gatinet,1,LaMetro
clusters,"45.21529,5.74853",SEM:LEGORGET,SEM:GENLEGORGET,La Tronche,Le Gorget,1,LaMetro
clusters,"45.25474,5.77111",SEM:LEGOUILL,SEM:GENLEGOUILL,Le Sappey-en-Chartreuse,Le Gouillat,1,LaMetro
clusters,"45.20969,5.66443",SEM:LEGUA,SEM:GENLEGUA,Sassenage,Le Gua,1,LaMetro
clusters,"45.02211,5.64457",SEM:LEGUAMAI,SEM:GENLEGUAMAI,Le Gua,Le Gua Mairie,1,LaMetro
clusters,"45.18746,5.80706",SEM:LEJAPIN,SEM:GENLEJAPIN,Gières,Le Japin,1,LaMetro
clusters,"45.16412,5.75044",SEM:LEMARAIS,SEM:GENLEMARAIS,Saint-Martin-d'Hères,Le Marais,1,LaMetro
clusters,"45.2177,5.72187",SEM:LEMASGAC,SEM:GENLEMASGAC,Saint-Martin-le-Vinoux,Mas Caché,1,LaMetro
clusters,"45.1333,5.77484",SEM:LENCLOS,SEM:GENLENCLOS,Brié-et-Angonnes,L'Enclos,1,LaMetro
clusters,"45.08448,5.73474",SEM:LEOLA,SEM:GENLEOLA,Champ-sur-Drac,Léo Lagrange,1,LaMetro
clusters,"45.169,5.74444",SEM:LEONJOUH,SEM:GENLEONJOUH,Grenoble,Léon Jouhaux,1,LaMetro
clusters,"45.15864,5.67447",SEM:LEPARL,SEM:GENLEPARL,Seyssins,Le Parlement,1,LaMetro
clusters,"45.17245,5.81036",SEM:LEPERROU,SEM:GENLEPERROU,Venon,Le Perroud,1,LaMetro
clusters,"45.11776,5.7479",SEM:LEPLATR,SEM:GENLEPLATR,Jarrie,Le Plâtre,1,LaMetro
clusters,"45.09398,5.79326",SEM:LEPLATRE,SEM:GENLEPLATRE,Vaulnaveys-le-Bas,Chemin des Cottes,1,LaMetro
clusters,"45.15698,5.6788",SEM:LEPRIOU,SEM:GENLEPRIOU,Seyssins,Le Priou,1,LaMetro
clusters,"45.07462,5.69959",SEM:LEREFUGE,SEM:GENLEREFUGE,Vif,Le Refuge,1,LaMetro
clusters,"45.16989,5.81322",SEM:LEREYNET,SEM:GENLEREYNET,Venon,Le Reynet,1,LaMetro
clusters,"45.0323,5.65546",SEM:LERIF,SEM:GENLERIF,Vif,Le Rif,1,LaMetro
clusters,"45.20926,5.7423",SEM:LERONZA,SEM:GENLERONZA,La Tronche,Le Rozan,1,LaMetro
clusters,"45.07547,5.7786",SEM:LESALLAS,SEM:GENLESALLAS,Vizille,Les Allas,1,LaMetro
clusters,"45.17821,5.74264",SEM:LESBAINS,SEM:GENLESBAINS,Grenoble,Suzanne Noël - Les Bains,1,LaMetro
clusters,"45.20964,5.718",SEM:LESCOMBE,SEM:GENLESCOMBE,Saint-Martin-le-Vinoux,Les Combes,1,LaMetro
clusters,"45.15689,5.6708",SEM:LESCOTES,SEM:GENLESCOTES,Seyssins,Les Côtes,1,LaMetro
clusters,"45.1593,5.71376",SEM:LESESSAR,SEM:GENLESESSAR,Grenoble,Les Essarts,1,LaMetro
clusters,"45.01439,5.61354",SEM:LESFAURE,SEM:GENLESFAURE,Le Gua,Les Faures,1,LaMetro
clusters,"45.20589,5.71784",SEM:LESFAUVE,SEM:GENLESFAUVE,Saint-Martin-le-Vinoux,Les Fauvettes,1,LaMetro
clusters,"45.07716,5.76858",SEM:LESFORGE,SEM:GENLESFORGE,Vizille,Les Forges,1,LaMetro
clusters,"45.1841,5.69716",SEM:LESILES,SEM:GENLESILES,Seyssinet-Pariset,Les Iles,1,LaMetro
clusters,"45.19957,5.66989",SEM:LESPIES,SEM:GENLESPIES,Sassenage,Les Pies,1,LaMetro
clusters,"45.13788,5.7033",SEM:LETOILE,SEM:GENLETOILE,Le Pont-de-Claix,L'Etoile,1,LaMetro
clusters,"44.97015,5.60875",SEM:LEVERNAY,SEM:GENLEVERNAY,Miribel-Lanchâtre,Le Vernay,1,LaMetro
clusters,"45.22629,5.72548",SEM:LEVETIER,SEM:GENLEVETIER,Saint-Martin-le-Vinoux,Levetière,1,LaMetro
clusters,"45.21501,5.70418",SEM:LHERMITA,SEM:GENLHERMITA,Saint-Martin-le-Vinoux,L'Hermitage,1,LaMetro
clusters,"45.16976,5.71287",SEM:LMICHEL,SEM:GENLMICHEL,Grenoble,Louise Michel,1,LaMetro
clusters,"45.16999,5.73712",SEM:LOUISJOU,SEM:GENLOUISJOU,Grenoble,Louis Jouvet,1,LaMetro
clusters,"45.06872,5.76836",SEM:LTE,SEM:GENLTE,Vizille,Vizille Lycée,1,LaMetro
clusters,"45.21416,5.7791",SEM:LYCBACHA,SEM:GENLYCBACHA,Meylan,Lycée du Grésivaudan - Bachais,1,LaMetro
clusters,"45.2134,5.78085",SEM:LYCGRESI,SEM:GENLYCGRESI,Meylan,Lycée du Grésivaudan,1,LaMetro
clusters,"45.17304,5.71057",SEM:LYSROUGE,SEM:GENLYSROUGE,Grenoble,Lys Rouge,1,LaMetro
clusters,"45.18515,5.74324",SEM:MADELEIN,SEM:GENMADELEIN,Grenoble,Madeleine,1,LaMetro
clusters,"45.17347,5.73206",SEM:MAICULTU,SEM:GENMAICULTU,Grenoble,MC2: Maison de la Culture,1,LaMetro
clusters,"45.17354,5.71805",SEM:MAINNATI,SEM:GENMAINNATI,Grenoble,Marché d'Intérêt National,1,LaMetro
clusters,"45.21118,5.75092",SEM:MAIRIECO,SEM:GENMAIRIECO,Corenc,Mairie-Condamine,1,LaMetro
clusters,"45.20826,5.70685",SEM:MAIRIESM,SEM:GENMAIRIESM,Saint-Martin-le-Vinoux,Saint-Martin-le-Vinoux Hôtel de Ville,1,LaMetro
clusters,"45.15975,5.72325",SEM:MAISANCI,SEM:GENMAISANCI,Grenoble,Maison des Anciens,1,LaMetro
clusters,"45.16491,5.74252",SEM:MAISNEUV,SEM:GENMAISNEUV,Eybens,Maisons Neuves,1,LaMetro
clusters,"45.11181,5.80512",SEM:MAISON,SEM:GENMAISON,Vaulnaveys-le-Bas,Maison Blanche,1,LaMetro
clusters,"45.18412,5.75414",SEM:MAISONCO,SEM:GENMAISONCO,Saint-Martin-d'Hères,Maison Communale,1,LaMetro
clusters,"45.18912,5.69409",SEM:MAISONNA,SEM:GENMAISONNA,Fontaine,Louis Maisonnat,1,LaMetro
clusters,"45.21122,5.78722",SEM:MALACHER,SEM:GENMALACHER,Meylan,Malacher,1,LaMetro
clusters,"45.20773,5.68048",SEM:MALADIER,SEM:GENMALADIER,Sassenage,Maladière,1,LaMetro
clusters,"45.16928,5.73229",SEM:MALHERBE,SEM:GENMALHERBE,Grenoble,Malherbe,1,LaMetro
clusters,"45.13254,5.66688",SEM:MALHIVER,SEM:GENMALHIVER,Claix,Malhivert,1,LaMetro
clusters,"45.08396,5.7047",SEM:MALISSOL,SEM:GENMALISSOL,Varces-Allières-et-Risset,Malissolles,1,LaMetro
clusters,"45.18033,5.73507",SEM:MALLIFAU,SEM:GENMALLIFAU,Grenoble,Mallifaud,1,LaMetro
clusters,"45.19915,5.68284",SEM:MARAT,SEM:GENMARAT,Fontaine,Marat,1,LaMetro
clusters,"45.18245,5.72217",SEM:MARCEAU,SEM:GENMARCEAU,Grenoble,Marceau - Jardin des Vallons,1,LaMetro
clusters,"45.12553,5.69795",SEM:MARCELLI,SEM:GENMARCELLI,Le Pont-de-Claix,Marcelline,1,LaMetro
clusters,"45.11483,5.80766",SEM:MARCHAND,SEM:GENMARCHAND,Vaulnaveys-le-Haut,Marchandises,1,LaMetro
clusters,"45.16486,5.68915",SEM:MARCSANG,SEM:GENMARCSANG,Seyssins,Marc Sangnier,1,LaMetro
clusters,"45.2081,5.69661",SEM:MARESIST,SEM:GENMARESIST,Grenoble,Martyrs - Résistance,1,LaMetro
clusters,"45.13495,5.69291",SEM:MARIANNE,SEM:GENMARIANNE,Le Pont-de-Claix,Marianne,1,LaMetro
clusters,"45.14523,5.71704",SEM:MARIECUR,SEM:GENMARIECUR,Échirolles,Marie Curie,1,LaMetro
clusters,"45.14162,5.74135",SEM:MARITELL,SEM:GENMARITELL,Bresson,La Maritelle,1,LaMetro
clusters,"45.27636,5.61105",SEM:MARRONNI,SEM:GENMARRONNI,Veurey-Voroize,Les Marronniers,1,LaMetro
clusters,"45.16727,5.69424",SEM:MASDESIL,SEM:GENMASDESIL,Seyssins,Mas des Iles,1,LaMetro
clusters,"45.06078,5.68819",SEM:MASGARNI,SEM:GENMASGARNI,Vif,Mas Garni,1,LaMetro
clusters,"45.05194,5.67464",SEM:MASSEGU,SEM:GENMASSEGU,Vif,Le Masségu,1,LaMetro
clusters,"45.16771,5.72108",SEM:MASSENET,SEM:GENMASSENET,Grenoble,Massenet,1,LaMetro
clusters,"45.10558,5.74645",SEM:MAUPERTJ,SEM:GENMAUPERTJ,Jarrie,Maupertuis,1,LaMetro
clusters,"45.21285,5.79719",SEM:MAUPERTU,SEM:GENMAUPERTU,Meylan,Maupertuis,1,LaMetro
clusters,"45.18491,5.77895",SEM:MAYENCIN,SEM:GENMAYENCIN,Gières,Mayencin - Champ Roman,1,LaMetro
clusters,"45.07973,5.66297",SEM:MEINGET,SEM:GENMEINGET,Saint-Paul-de-Varces,Le Meinget,1,LaMetro
clusters,"45.12164,5.78504",SEM:METRA,SEM:GENMETRA,Brié-et-Angonnes,Les Métraux,1,LaMetro
clusters,"45.20928,5.7785",SEM:MEYLMAIR,SEM:GENMEYLMAIR,Meylan,Meylan Mairie,1,LaMetro
clusters,"45.20028,5.74533",SEM:MICHALLO,SEM:GENMICHALLO,La Tronche,Michallon,1,LaMetro
clusters,"44.97466,5.621",SEM:MIRIBEL,SEM:GENMIRIBEL,Miribel-Lanchâtre,Miribel,1,LaMetro
clusters,"45.22364,5.7678",SEM:MOLLARD,SEM:GENMOLLARD,Corenc,Rochasson,1,LaMetro
clusters,"45.21361,5.65249",SEM:MOLLARDP,SEM:GENMOLLARDP,Sassenage,Mollard Pichon,1,LaMetro
clusters,"45.26467,5.7742",SEM:MOLLARSA,SEM:GENMOLLARSA,Le Sappey-en-Chartreuse,Les Jonquilles,1,LaMetro
clusters,"45.15354,5.71188",SEM:MONMOUSS,SEM:GENMONMOUSS,Échirolles,Monmousseau,1,LaMetro
clusters,"45.09498,5.76482",SEM:MONTCHAV,SEM:GENMONTCHAV,Montchaboud,Montchaboud Le Village,1,LaMetro
clusters,"45.21204,5.75709",SEM:MONTFLEU,SEM:GENMONTFLEU,Corenc,Montfleury,1,LaMetro
clusters,"45.22998,5.78981",SEM:MONTLIVE,SEM:GENMONTLIVE,Meylan,Montlivet,1,LaMetro
clusters,"45.25575,5.74284",SEM:MONTQUAI,SEM:GENMONTQUAI,Quaix-en-Chartreuse,Mont-Quaix,1,LaMetro
clusters,"45.217,5.7536",SEM:MONUMENT,SEM:GENMONUMENT,Corenc,Monument,1,LaMetro
clusters,"45.25405,5.69438",SEM:MORE,SEM:GENMORE,Proveysieux,Moretière,1,LaMetro
clusters,"45.19635,5.82887",SEM:MORTES,SEM:GENMORTES,Domène,Les Mortes,1,LaMetro
clusters,"45.12579,5.68096",SEM:MOUCHERO,SEM:GENMOUCHERO,Claix,Moucherotte,1,LaMetro
clusters,"45.01516,5.7045",SEM:MOULIN,SEM:GENMOULIN,Notre-Dame-de-Commiers,Le Moulin,1,LaMetro
clusters,"45.179,5.73179",SEM:MOUNIER,SEM:GENMOUNIER,Grenoble,Mounier,1,LaMetro
clusters,"45.22838,5.68422",SEM:MOUTONNE,SEM:GENMOUTONNE,Saint-Égrève,Moutonnées,1,LaMetro
clusters,"45.22618,5.68616",SEM:MURET,SEM:GENMURET,Saint-Égrève,Muret,1,LaMetro
clusters,"45.21549,5.77954",SEM:MURIERS,SEM:GENMURIERS,Meylan,Les Mûriers,1,LaMetro
clusters,"45.19497,5.72614",SEM:MUSEEDAU,SEM:GENMUSEEDAU,Grenoble,Musée Dauphinois,1,LaMetro
clusters,"45.14878,5.70172",SEM:MUSGEOCH,SEM:GENMUSGEOCH,Échirolles,Musée Géo Charles,1,LaMetro
clusters,"45.20564,5.74888",SEM:MUSHEBER,SEM:GENMUSHEBER,La Tronche,Musée Hébert,1,LaMetro
clusters,"45.19046,5.73663",SEM:MUTUALIT,SEM:GENMUTUALIT,Grenoble,Mutualité,1,LaMetro
clusters,"45.27232,5.67853",SEM:NAMIERE,SEM:GENNAMIERE,Mont-Saint-Martin,Chemin de Namière,1,LaMetro
clusters,"45.21398,5.71026",SEM:NARBONNE,SEM:GENNARBONNE,Saint-Martin-le-Vinoux,Narbonne,1,LaMetro
clusters,"45.15627,5.70842",SEM:NAVIS,SEM:GENNAVIS,Échirolles,Navis,1,LaMetro
clusters,"45.00967,5.70015",SEM:NDCV,SEM:GENNDCV,Notre-Dame-de-Commiers,Notre-Dame-de-Commiers Le Village,1,LaMetro
clusters,"45.21782,5.69334",SEM:NERON,SEM:GENNERON,Saint-Martin-le-Vinoux,Néron,1,LaMetro
clusters,"45.18669,5.75716",SEM:NEYRBELL,SEM:GENNEYRBELL,Saint-Martin-d'Hères,Neyrpic - Belledonne,1,LaMetro
clusters,"45.11993,5.69255",SEM:POMPIDOU,SEM:GENPOMPIDOU,Claix,Pompidou,1,LaMetro
clusters,"45.17597,5.7372",SEM:PONSARD,SEM:GENPONSARD,Grenoble,Ponsard,1,LaMetro
clusters,"45.08736,5.69011",SEM:NODAMLAC,SEM:GENNODAMLAC,Varces-Allières-et-Risset,Notre-Dame de Lachal,1,LaMetro
clusters,"45.20915,5.79489",SEM:NORBSEGA,SEM:GENNORBSEGA,Meylan,Norbert Ségard,1,LaMetro
clusters,"45.19358,5.73214",SEM:NOTREDAM,SEM:GENNOTREDAM,Grenoble,Notre-Dame - Musée,1,LaMetro
clusters,"45.24292,5.63217",SEM:NOYARBAS,SEM:GENNOYARBAS,Noyarey,Bascule,1,LaMetro
clusters,"45.23891,5.63425",SEM:NOYARSTJ,SEM:GENNOYARSTJ,Noyarey,Saint-Jean,1,LaMetro
clusters,"45.15273,5.74876",SEM:ODYSSEE,SEM:GENODYSSEE,Eybens,Odyssée,1,LaMetro
clusters,"45.21506,5.76867",SEM:OISEAUX,SEM:GENOISEAUX,Corenc,Les Oiseaux,1,LaMetro
clusters,"45.19819,5.83412",SEM:ORATOIRE,SEM:GENORATOIRE,Domène,L'Oratoire,1,LaMetro
clusters,"45.08937,5.68355",SEM:ORIEL,SEM:GENORIEL,Varces-Allières-et-Risset,L'Oriel,1,LaMetro
clusters,"45.20967,5.66695",SEM:OVALIE,SEM:GENOVALIE,Sassenage,L'Ovalie,1,LaMetro
clusters,"45.17395,5.76074",SEM:PABLONER,SEM:GENPABLONER,Saint-Martin-d'Hères,Pablo Neruda,1,LaMetro
clusters,"45.14464,5.69816",SEM:PABLOPIC,SEM:GENPABLOPIC,Échirolles,Collège Pablo Picasso,1,LaMetro
clusters,"45.21369,5.75287",SEM:PAJON,SEM:GENPAJON,Corenc,Charles Pajon,1,LaMetro
clusters,"45.27308,5.7657",SEM:PALAQUIT,SEM:GENPALAQUIT,Sarcenas,Col de Palaquit,1,LaMetro
clusters,"45.19164,5.71086",SEM:PALJUSTI,SEM:GENPALJUSTI,Grenoble,Palais de Justice - Gare,1,LaMetro
clusters,"45.11536,5.66589",SEM:PAMPRES,SEM:GENPAMPRES,Claix,Les Pampres,1,LaMetro
clusters,"45.21658,5.652",SEM:PARCS,SEM:GENPARCS,Sassenage,Les Parcs,1,LaMetro
clusters,"45.17478,5.65879",SEM:PARISE,SEM:GENPARISE,Seyssinet-Pariset,Pariset,1,LaMetro
clusters,"45.1995,5.75527",SEM:PASCAL,SEM:GENPASCAL,La Tronche,Pascal,1,LaMetro
clusters,"45.17226,5.74478",SEM:PAULCOCA,SEM:GENPAULCOCA,Grenoble,Paul Cocat,1,LaMetro
clusters,"45.16512,5.74887",SEM:PAULELUA,SEM:GENPAULELUA,Saint-Martin-d'Hères,Paul Eluard,1,LaMetro
clusters,"45.01148,5.70161",SEM:PAUT,SEM:GENPAUT,Notre-Dame-de-Commiers,Les Pauttats,1,LaMetro
clusters,"45.1084,5.67425",SEM:PAVILLON,SEM:GENPAVILLON,Varces-Allières-et-Risset,Pavillon,1,LaMetro
clusters,"45.17336,5.73851",SEM:PCLAUDEL,SEM:GENPCLAUDEL,Grenoble,Paul Claudel,1,LaMetro
clusters,"45.0577,5.77102",SEM:PEAGEDEV,SEM:GENPEAGEDEV,Vizille,Le Péage,1,LaMetro
clusters,"45.07057,5.67506",SEM:PELISIER,SEM:GENPELISIER,Varces-Allières-et-Risset,Pélissière,1,LaMetro
clusters,"45.15084,5.71482",SEM:PELLOUTI,SEM:GENPELLOUTI,Échirolles,Fernand Pelloutier,1,LaMetro
clusters,"45.17016,5.68682",SEM:PERCEVAL,SEM:GENPERCEVAL,Seyssinet-Pariset,Percevalière,1,LaMetro
clusters,"45.18771,5.75142",SEM:PERIBROS,SEM:GENPERIBROS,Saint-Martin-d'Hères,Péri - Brossolette,1,LaMetro
clusters,"45.26209,5.6247",SEM:PERIERES,SEM:GENPERIERES,Veurey-Voroize,Perrières,1,LaMetro
clusters,"45.12456,5.67937",SEM:PEROUSES,SEM:GENPEROUSES,Claix,Les Pérouses,1,LaMetro
clusters,"45.18935,5.81079",SEM:PERRIERE,SEM:GENPERRIERE,Gières,La Perrière,1,LaMetro
clusters,"45.06225,5.69018",SEM:PETIBRIO,SEM:GENPETIBRIO,Vif,Le Petit Brion,1,LaMetro
clusters,"45.04571,5.70237",SEM:PEUPLE,SEM:GENPEUPLE,Saint-Georges-de-Commiers,Les Peupliers,1,LaMetro
clusters,"45.16287,5.6853",SEM:PFMITTER,SEM:GENPFMITTER,Seyssins,Parc François Mitterrand,1,LaMetro
clusters,"45.14728,5.71347",SEM:PHEROULT,SEM:GENPHEROULT,Échirolles,Paul Héroult,1,LaMetro
clusters,"45.18388,5.79852",SEM:PIEDGIER,SEM:GENPIEDGIER,Gières,Pied de Gières,1,LaMetro
clusters,"45.17956,5.76397",SEM:PIERCOUR,SEM:GENPIERCOUR,Saint-Martin-d'Hères,Pierre Courtade,1,LaMetro
clusters,"45.16664,5.74646",SEM:PIERRELO,SEM:GENPIERRELO,Saint-Martin-d'Hères,Pierre Loti,1,LaMetro
clusters,"45.18128,5.75712",SEM:PIERSEMA,SEM:GENPIERSEMA,Saint-Martin-d'Hères,Pierre Sémard,1,LaMetro
clusters,"45.23565,5.67549",SEM:PINEA,SEM:GENPINEA,Saint-Égrève,La Pinéa - St Robert,1,LaMetro
clusters,"45.20888,5.77538",SEM:PISBUCLO,SEM:GENPISBUCLO,Meylan,Piscine des Buclos,1,LaMetro
clusters,"45.11379,5.72863",SEM:PLACA,SEM:GENPLACA,Champagnier,Place du Laca,1,LaMetro
clusters,"45.195,5.72917",SEM:PLACECYM,SEM:GENPLACECYM,Grenoble,Place Cymaise,1,LaMetro
clusters,"45.25319,5.71732",SEM:PLACEQUA,SEM:GENPLACEQUA,Quaix-en-Chartreuse,Quaix-en-Chartreuse Place,1,LaMetro
clusters,"45.25948,5.77706",SEM:PLACESAP,SEM:GENPLACESAP,Le Sappey-en-Chartreuse,Le Sappey-en-Chartreuse Place,1,LaMetro
clusters,"45.15583,5.68083",SEM:PLACEVIL,SEM:GENPLACEVIL,Seyssins,Seyssins Village,1,LaMetro
clusters,"45.19588,5.69065",SEM:PLACMARC,SEM:GENPLACMARC,Fontaine,Place du Marché Cachin,1,LaMetro
clusters,"45.06686,5.69213",SEM:PLAINE,SEM:GENPLAINE,Vif,La Plaine,1,LaMetro
clusters,"45.18805,5.78421",SEM:PLAINEDS,SEM:GENPLAINEDS,Gières,Plaine des Sports,1,LaMetro
clusters,"45.20276,5.76139",SEM:PLAINEFL,SEM:GENPLAINEFL,Meylan,Plaine Fleurie,1,LaMetro
clusters,"45.20876,5.76321",SEM:PLALOUIS,SEM:GENPLALOUIS,Meylan,Place de la Louisiane,1,LaMetro
clusters,"45.27869,5.71357",SEM:PLANF,SEM:GENPLANF,Proveysieux,Planfay Bas,1,LaMetro
clusters,"45.27874,5.71787",SEM:PLANFAY,SEM:GENPLANFAY,Proveysieux,Planfay Haut,1,LaMetro
clusters,"45.08933,5.6777",SEM:PLATANES,SEM:GENPLATANES,Varces-Allières-et-Risset,Les Platanes,1,LaMetro
clusters,"45.16115,5.73994",SEM:PLGEANTS,SEM:GENPLGEANTS,Grenoble,Les Géants,1,LaMetro
clusters,"45.20682,5.66281",SEM:PLIBERAT,SEM:GENPLIBERAT,Sassenage,Place de la Libération,1,LaMetro
clusters,"45.18209,5.79257",SEM:PLREPUBL,SEM:GENPLREPUBL,Gières,Place de la République,1,LaMetro
clusters,"45.15715,5.73384",SEM:POLESUD,SEM:GENPOLESUD,Grenoble,Polesud - Alpexpo,1,LaMetro
clusters,"45.1486,5.72251",SEM:POLOTTI,SEM:GENPOLOTTI,Échirolles,Antoine Polotti,1,LaMetro
clusters,"45.28045,5.70961",SEM:POMAR,SEM:GENPOMAR,Proveysieux,Pomarey Bas,1,LaMetro
clusters,"45.28232,5.71079",SEM:POMAREY,SEM:GENPOMAREY,Proveysieux,Pomarey,1,LaMetro
clusters,"45.08765,5.67206",SEM:POMMERAI,SEM:GENPOMMERAI,Varces-Allières-et-Risset,La Pommeraie,1,LaMetro
clusters,"45.0875,5.73031",SEM:PONTCN,SEM:GENPONTCN,Champ-sur-Drac,Pont de Champ,1,LaMetro
clusters,"45.17823,5.79043",SEM:PONTDEV,SEM:GENPONTDEV,Gières,Pont de Venon,1,LaMetro
clusters,"45.02852,5.65171",SEM:PONTGENE,SEM:GENPONTGENE,Vif,Le Pont de Genevrey,1,LaMetro
clusters,"45.08679,5.78887",SEM:PONTMAS,SEM:GENPONTMAS,Vizille,Le Pont du Mas,1,LaMetro
clusters,"45.1814,5.76347",SEM:PORTAILR,SEM:GENPORTAILR,Saint-Martin-d'Hères,Portail Rouge,1,LaMetro
clusters,"45.18253,5.77665",SEM:PORTGRES,SEM:GENPORTGRES,Saint-Martin-d'Hères,Porte du Grésivaudan,1,LaMetro
clusters,"45.1211,5.67214",SEM:POSTE,SEM:GENPOSTE,Claix,Poste,1,LaMetro
clusters,"45.17088,5.75859",SEM:POTIE,SEM:GENPOTIE,Saint-Martin-d'Hères,Potié,1,LaMetro
clusters,"45.07444,5.66002",SEM:POULAT,SEM:GENPOULAT,Saint-Paul-de-Varces,Le Poulat,1,LaMetro
