IRIS,DEC_PIMP21,DEC_TP6021,DEC_INCERT21,DEC_Q121,DEC_MED21,DEC_Q321,DEC_EQ21,DEC_D121,DEC_D221,DEC_D321,DEC_D421,DEC_D621,DEC_D721,DEC_D821,DEC_D921,DEC_RD21,DEC_S80S2021,DEC_GI21,DEC_PACT21,DEC_PTSA21,DEC_PCHO21,DEC_PBEN21,DEC_PPEN21,DEC_PAUT21,DEC_NOTE21
381110101,"61,0","13,0",2,18800,25790,34410,"0,61",11790,16800,20170,23010,28670,32100,36300,43810,"3,7","4,9","0,291","68,0","61,3","2,2","4,5","26,8","5,2",0
381110102,"71,0","6,0",1,23500,32600,45320,"0,67",16940,21720,25340,28580,36730,42040,49470,61260,"3,6","4,7","0,300","67,1","61,0","1,8","4,3","25,7","7,2",0
381110103,"78,0","4,0",1,25620,33940,46370,"0,61",19590,24120,27260,30380,38600,43540,49500,62480,"3,2","5,7","0,371","61,9","53,3","1,5","7,1","22,2","15,9",0
381500101,"53,0","14,0",1,16850,22670,30500,"0,60",11410,15530,18050,20380,25350,28590,33020,39910,"3,5","4,4","0,281","70,3","64,8","2,8","2,7","26,3","3,4",0
381500102,"62,0","12,0",1,18990,25740,34150,"0,59",12420,17590,20530,22940,28550,32100,36690,44300,"3,6","4,3","0,274","70,7","65,7","1,9","3,1","25,3","4,0",0
381510101,"59,0","15,0",2,17520,24170,33780,"0,67",10200,15510,19030,21550,26730,31750,36330,45220,"4,4","5,0","0,297","51,4","46,1","1,9","3,4","43,8","4,8",0
381510102,ns,ns,so,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,so,so,ns,ns,ns,ns,ns,ns,ns,so
381510103,"35,0","48,0",1,7520,14510,22360,"1,02",2790,6170,8880,11690,17250,20420,25020,31170,"11,2","13,7","0,395","63,7","57,1","4,7","1,9","34,0","2,3",0
381510104,"52,0","20,0",1,14900,20820,27240,"0,59",8830,13690,16280,18750,22960,25720,29060,33500,"3,8","4,7","0,274","64,2","59,4","2,6","2,2","33,3","2,5",0
381510201,ns,ns,so,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,so,so,ns,ns,ns,ns,ns,ns,ns,so
381510202,"50,0","26,0",1,13420,20730,28190,"0,71",6890,11920,15020,18280,23260,26510,30180,37020,"5,4","6,7","0,321","68,8","64,2","2,8","1,8","28,4","2,8",0
381510203,"29,0","55,0",2,6040,12490,19470,"1,07",1080,4840,7210,9280,15280,18030,21280,27560,"25,6","17,7","0,407","64,5","58,6","5,1","0,8","34,5","1,0",0
381510301,"42,0","40,0",1,8960,16920,24730,"0,93",3540,7440,10510,13600,19860,22860,26610,32400,"9,2","11,0","0,371","67,2","62,6","3,7","0,9","31,0","1,8",1
381510302,"47,0","25,0",2,14150,20640,27060,"0,63",7440,12230,15510,17680,23040,25870,29450,34580,"4,7","5,6","0,291","54,5","50,1","2,7","1,7","43,4","2,1",0
381510303,"21,0","61,0",2,5640,11160,18040,"1,11",970,4680,6700,8770,13520,16200,19330,23830,"24,5","17,7","0,401","62,8","56,2","5,2","1,4","36,2","1,0",0
381510304,ns,ns,so,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,so,so,ns,ns,ns,ns,ns,ns,ns,so
381510305,"25,0","63,0",2,4530,9500,17730,"1,39",250,3310,5730,7300,12710,15840,20150,24600,"99,1","31,4","0,452","68,9","62,5","5,6","0,8","30,3","0,8",0
381510306,"23,0","63,0",2,4170,10160,17840,"1,34",90,2880,5520,7340,13150,16500,19620,24440,"261,6","32,9","0,446","65,8","57,2","6,3","2,3","33,0","1,2",0
381510401,"67,0","8,0",1,20990,27630,37240,"0,59",14940,19320,22210,24690,30650,34650,39740,47050,"3,1","4,0","0,261","65,1","59,5","1,8","3,8","30,2","4,7",0
381510402,"55,0","21,0",1,15010,21670,29580,"0,67",7490,13220,16600,19310,24640,27840,31530,36970,"4,9","5,6","0,293","68,2","63,3","2,7","2,2","29,6","2,2",0
381580101,"69,0","10,0",1,20600,27910,36500,"0,57",13820,18730,22160,25250,31060,34280,39780,49890,"3,6","4,6","0,291","68,0","62,5","1,9","3,6","26,3","5,7",0
381580102,"56,0","21,0",1,15250,21840,28820,"0,62",8360,12970,16760,19630,24520,27600,31380,38360,"4,6","5,9","0,301","69,1","63,5","3,1","2,5","28,0","2,9",0
381580103,"62,0","23,0",1,15210,25510,35900,"0,81",7460,12610,17390,21670,28860,32980,38320,47880,"6,4","8,1","0,351","69,9","65,3","2,2","2,4","25,5","4,6",0
381690101,"51,0","28,0",1,12760,21400,29720,"0,79",5330,10560,14490,18170,24050,27770,32450,38150,"7,2","8,3","0,340","74,5","68,1","3,5","2,9","22,1","3,4",0
381690102,"52,0","21,0",1,14970,21920,30080,"0,69",8000,13610,16310,19000,24730,27830,31840,37420,"4,7","5,6","0,298","74,9","68,0","4,0","2,9","21,9","3,2",0
381690103,"45,0","33,0",2,11480,18150,25850,"0,79",4210,9640,12920,15370,20800,23590,27510,33400,"7,9","9,1","0,342","75,5","69,7","3,2","2,6","22,5","2,0",0
381690104,"51,0","20,0",1,15250,21090,28390,"0,62",8610,13710,16670,18820,23880,26670,30000,37070,"4,3","5,1","0,287","68,8","62,8","2,7","3,3","28,4","2,8",0
381690105,"43,0","37,0",2,11050,17000,24250,"0,78",5980,9460,12170,14750,19770,22640,26020,31750,"5,3","6,6","0,326","74,0","67,8","4,0","2,2","24,2","1,8",0
381690106,"39,0","37,0",2,10330,18160,25140,"0,82",3700,8240,11580,14660,20790,23600,27700,36610,"9,9","10,8","0,368","64,8","59,1","3,6","2,1","32,6","2,6",0
381690107,"37,0","39,0",2,9790,16210,24280,"0,89",5110,8200,11350,14240,19360,22460,25930,31200,"6,1","8,1","0,345","64,0","58,9","3,6","1,5","34,3","1,7",0
381690108,ns,ns,so,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,so,so,ns,ns,ns,ns,ns,ns,ns,so
381690109,"52,0","24,0",1,14090,20710,27590,"0,65",8470,12450,15660,18300,23270,26050,29500,35210,"4,2","5,3","0,293","68,6","62,8","3,0","2,8","29,0","2,4",0
381690110,"57,0","15,0",1,17070,24370,31750,"0,60",11150,15350,18640,21600,26680,29970,34070,40640,"3,6","4,7","0,278","66,6","61,4","2,0","3,2","29,9","3,5",0
381690111,ns,ns,so,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,so,so,ns,ns,ns,ns,ns,ns,ns,so
381690112,nd,nd,so,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,so,so,nd,nd,nd,nd,nd,nd,nd,so
381790101,"60,0","17,0",1,17170,25660,34750,"0,69",9990,15150,19090,22600,28820,32450,37800,46390,"4,6","6,1","0,321","75,1","69,8","2,0","3,3","20,0","4,9",0
381790102,"65,0","14,0",1,19400,27080,36260,"0,62",10840,16980,20720,24310,29870,33930,38820,47180,"4,4","5,4","0,302","73,5","67,1","1,9","4,5","22,0","4,5",0
381850101,ns,ns,so,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,so,so,ns,ns,ns,ns,ns,ns,ns,so
381850102,"55,0","34,0",1,10380,20950,32240,"1,04",5020,9010,12240,16330,24870,29620,35550,44160,"8,8","11,4","0,390","84,5","78,3","3,4","2,8","12,7","2,8",0
381850103,"56,0","29,0",1,11900,23150,34650,"0,98",3590,9740,14400,18900,27000,31670,37790,46090,"12,8","13,8","0,395","81,8","76,3","2,7","2,8","14,0","4,2",0
381850104,"60,0","20,0",1,15870,25300,36700,"0,82",6980,13530,17560,21190,28840,33650,39800,50220,"7,2","8,7","0,359","78,8","72,0","3,3","3,5","16,2","5,0",0
381850105,"63,0","19,0",2,16200,27950,40160,"0,86",8780,13830,18960,23490,31980,36680,43310,51270,"5,8","8,0","0,359","72,3","64,7","2,8","4,8","20,0","7,7",0
381850106,"50,0","32,0",1,11410,20530,29890,"0,90",4980,9330,13310,17390,23790,27520,33090,40740,"8,2","10,6","0,368","83,2","75,4","5,0","2,8","14,6","2,2",0
381850107,"57,0","23,0",1,14880,24420,36300,"0,88",6810,12840,17160,20770,28650,33910,39070,47100,"6,9","8,8","0,359","79,9","73,7","3,6","2,6","16,0","4,1",0
381850108,"53,0","23,0",1,14310,22820,32350,"0,79",6190,12290,16620,19910,26230,29590,35270,42120,"6,8","8,2","0,343","82,0","74,0","3,6","4,4","15,1","2,9",0
381850109,"58,0","25,0",1,13710,24400,36370,"0,93",6010,11580,16150,20520,28350,32930,38860,47340,"7,9","10,2","0,370","80,8","73,2","3,3","4,3","16,3","2,9",0
381850110,"54,0","28,0",1,12750,21420,31620,"0,88",5120,10310,14380,18640,24530,28810,34890,43980,"8,6","9,8","0,363","80,9","74,1","4,1","2,7","15,8","3,3",0
381850111,"62,0","17,0",1,17070,26330,37540,"0,78",9440,15480,18900,22310,29970,34680,41070,49110,"5,2","6,5","0,327","76,5","69,7","3,0","3,8","19,7","3,8",0
381850201,"57,0","23,0",2,14350,23700,34480,"0,85",6060,12040,16340,19900,27160,31080,37480,47300,"7,8","10,6","0,392","80,5","69,6","4,1","6,8","14,5","5,0",0
381850202,"45,0","42,0",1,8830,17510,30100,"1,21",2370,6860,10400,13120,21700,26340,34410,45690,"19,2","19,5","0,449","75,1","68,0","4,2","2,9","20,4","4,5",0
381850203,"69,0","13,0",2,21480,33170,47430,"0,78",10950,19070,23730,28700,37280,44620,50540,63730,"5,8","7,3","0,344","71,0","63,2","2,1","5,7","21,5","7,5",0
381850204,"68,0","14,0",1,22060,34330,51740,"0,86",10000,18650,24970,30090,39820,46590,58110,79010,"7,9","12,0","0,453","63,8","54,9","1,6","7,3","20,0","16,2",0
381850205,"59,0","19,0",2,16420,29380,44880,"0,97",7730,13850,18920,24050,34220,40200,48900,65310,"8,5","10,9","0,409","72,7","64,4","2,0","6,3","19,6","7,7",0
381850206,"67,0","15,0",2,19360,31270,44530,"0,81",10260,16530,21750,27140,36200,40780,49080,66310,"6,5","7,7","0,359","70,8","61,6","2,7","6,5","21,3","7,9",0
381850207,"43,0","45,0",2,8360,16820,33040,"1,47",2200,6920,9720,12600,22800,29980,38820,52650,"23,9","21,6","0,488","71,7","63,8","4,0","3,9","23,3","5,0",0
381850208,"69,0","11,0",2,21460,29440,40850,"0,66",12510,19770,22700,26140,32590,36880,43830,54840,"4,4","5,4","0,314","62,2","55,6","1,9","4,7","32,5","5,3",0
381850209,"64,0","18,0",1,17340,28010,41060,"0,85",8890,14490,19630,23660,32750,37530,45020,54860,"6,2","8,1","0,354","71,2","64,0","2,4","4,8","24,2","4,6",0
381850210,"68,0","16,0",1,18600,28440,41780,"0,81",9010,16530,20790,24560,33190,37040,46270,56270,"6,2","8,5","0,377","66,9","60,3","2,0","4,6","25,4","7,7",0
381850211,"67,0","15,0",1,19440,29120,41060,"0,74",10120,17210,21540,25670,32870,38230,44020,54450,"5,4","7,3","0,350","75,9","66,2","2,8","6,9","16,9","7,2",0
381850212,"69,0","13,0",1,19780,30800,45020,"0,82",11920,17990,22300,26290,35060,41280,50370,71300,"6,0","8,8","0,405","67,8","58,5","2,1","7,2","21,7","10,5",0
381850213,"63,0","13,0",2,18470,28780,40660,"0,77",10540,16640,20810,24360,32950,38600,44470,56150,"5,3","7,5","0,367","63,8","54,9","2,7","6,2","28,2","8,0",0
381850214,"61,0","18,0",1,17530,26610,37500,"0,75",8440,15140,18990,23070,30470,35400,41510,51620,"6,1","8,4","0,370","78,3","69,8","3,3","5,2","18,5","3,2",0
381850215,"64,0","19,0",1,16470,26870,39420,"0,85",8890,14450,18760,22660,31290,36460,42770,55200,"6,2","7,9","0,359","77,5","69,7","2,7","5,1","17,7","4,8",0
381850216,"39,0","41,0",2,9000,16930,25970,"1,00",2370,7200,10250,13390,19240,24290,28920,40610,"17,1","15,4","0,427","71,1","64,1","4,3","2,7","25,4","3,5",0
381850301,"59,0","23,0",1,14440,22540,32350,"0,79",7130,12540,16380,19400,25950,30170,34630,41510,"5,8","6,8","0,320","78,0","72,4","3,3","2,3","20,0","2,0",0
381850302,"51,0","27,0",2,12900,20700,28230,"0,74",6490,10800,14740,17670,23120,26080,30050,37000,"5,7","6,7","0,321","75,8","69,5","3,5","2,8","21,7","2,5",0
381850303,"51,0","31,0",1,11700,19760,27410,"0,79",5700,9950,13600,17020,22780,25630,29810,37560,"6,6","7,8","0,344","75,1","68,5","3,5","3,1","22,5","2,4",0
381850304,"58,0","17,0",1,16450,23980,32410,"0,67",8360,14830,17760,20730,27080,30580,34740,40880,"4,9","5,8","0,306","76,1","69,0","3,6","3,5","20,3","3,6",0
381850305,"57,0","20,0",1,16180,23080,31350,"0,66",8330,14030,17520,20130,26100,29340,33740,41150,"4,9","6,5","0,313","74,9","68,6","3,2","3,1","21,9","3,2",0
381850306,"61,0","17,0",2,16760,24790,34610,"0,72",8350,14500,18590,21880,28190,32880,37410,47290,"5,7","6,9","0,333","72,7","64,7","3,3","4,7","21,9","5,4",0
381850307,"56,0","20,0",1,15530,22880,31040,"0,68",8370,13940,16940,19810,25330,28670,33420,39830,"4,8","5,9","0,303","63,9","59,2","2,8","1,9","33,3","2,8",0
381850308,"57,0","25,0",2,13480,22470,33010,"0,87",5190,10720,15830,19300,26000,30160,35040,43730,"8,4","10,3","0,371","65,1","59,6","2,3","3,2","28,8","6,1",0
381850309,"19,0","69,0",2,3540,9530,16020,"1,31",0,1930,4690,6680,10950,14090,17660,23090,so,"72,6","0,470","72,0","63,8","6,9","1,3","27,8","0,2",0
381850310,"60,0","21,0",1,15740,24370,33380,"0,72",7890,13550,17900,21210,27600,30720,35630,44700,"5,7","6,8","0,322","67,3","61,3","2,7","3,3","28,8","3,9",0
381850311,"46,0","32,0",1,11270,19360,27750,"0,85",4400,9500,13200,16200,22530,25770,30550,37940,"8,6","10,4","0,372","73,9","66,1","3,5","4,3","22,3","3,8",0
381850401,"57,0","21,0",2,15770,24210,34250,"0,76",7350,13430,17400,20920,27510,31790,36510,44000,"6,0","7,8","0,342","72,7","66,4","2,9","3,4","22,4","4,9",0
381850402,"60,0","18,0",1,16390,24380,33200,"0,69",8610,14570,18380,21700,27950,31140,36010,44660,"5,2","6,3","0,317","71,5","65,2","2,9","3,4","24,0","4,5",0
381850403,"59,0","18,0",1,16220,25130,34470,"0,73",7800,14350,17960,21720,28010,31940,36740,45180,"5,8","6,5","0,315","72,2","66,0","2,6","3,6","24,3","3,5",0
381850404,"66,0","17,0",1,18470,28430,41580,"0,81",10290,15710,20430,24670,32400,38230,44560,56660,"5,5","7,3","0,343","66,4","60,5","2,0","3,9","28,6","5,0",0
381850405,"64,0","15,0",1,17880,25710,35760,"0,70",11580,16140,19300,22480,29060,32600,38120,47570,"4,1","5,4","0,305","69,7","63,6","2,6","3,5","26,3","4,0",0
381850406,"65,0","13,0",2,18680,26030,36050,"0,67",11110,16780,20460,23380,29350,33610,38540,47680,"4,3","5,6","0,310","72,9","66,5","2,1","4,3","22,8","4,3",0
381850407,"48,0","34,0",1,9780,18670,29320,"1,05",3730,8040,12190,15600,21870,25880,31100,39290,"10,5","12,7","0,400","74,5","67,7","2,9","3,9","21,7","3,8",0
